eHRAF_name,dplace_name,language,latitude,longitude,celibacy_cat,celibacy_cat_rev,marital_comp,marital_comp_rev,marital_comp_dplace,inheritance_dplace,marriage_trans,marriage_trans_rev,marriage_trans_dplace,class,infanticide_ord,infanticide_sex,religion,region
Banyoro,Nyoro,NYORO,2,32,0,0,1,1,5,7,2,2,1,4,NA,NA,3,Africa
Barama River Carib,Barama River Carib,KALINA,5,-59,0,0,1,1,2,1,2,2,2,1,2,1,1,South America
Barundi,Rundi,RUNDI,-3,30,0,0,1,1,5,7,2,2,3,5,2,1,3,Africa
Basques,French Basques,BASQUE,43,-1,1,1,2,2,1,5,4,3,7,5,NA,NA,3,Europe
Basques,Spanish Basques,BASQUE_2,43,-2,1,1,2,2,1,5,4,3,7,5,NA,NA,3,Europe
Basseri,Basseri,PERSIAN,30,34,0,0,1,1,2,1,2,2,1,2,NA,NA,2,Middle East
Bau Fijians,Mbau Fijians,FIJIAN,-17.81,178.32,0,0,1,1,2,7,2,2,1,2,2,3,1,Oceania
Belau,Palauans,PALAUAN,7.45,134.54,0,0,1,1,2,3,2,2,1,4,2,NA,3,Oceania
Bemba,Bemba,BEMBA,-11,31,3,3,1,1,4,3,2,2,2,4,NA,NA,3,Africa
Bena,Bena,BENA,-9,36,0,0,1,1,5,7,2,2,1,4,NA,NA,3,Africa
Bengali,Bengali,BENGALI,23,88,0,0,1,1,2,7,3,3,7,5,NA,NA,5,Asia
Berbers of Morocco,Riffians,TARIFIT_BENI_IZNASSEN,35,-4,0,0,1,1,2,7,2,2,1,2,NA,NA,2,Africa
Betsileo,Betsileo,MALAGASY_PLATEAU_BETSILEO_FIANARANTSOA,-22,47,0,0,1,1,6,7,2,2,3,4,NA,NA,1,Africa
Bhil,Bhil,DUNGRA_BHIL,22,74,0,0,1,1,2,7,2,2,1,5,2,1,5,Asia
Bilen,Blin,BILIN,16,36,0,0,1,1,2,7,2,2,1,3,2,1,3,Africa
Blackfoot,Blackfoot,BLACKFOOT,51,-112,0,0,1,1,3,1,2,2,1,2,1,NA,1,North America
